PAIS,Italia,Iran,Corea del Sur
04/02/2020,1,1,1
05/02/2020,1,1,1
06/02/2020,1,1,1
07/02/2020,1,1,1
08/02/2020,1,1,1
09/02/2020,1,1,1
10/02/2020,1,1,1
11/02/2020,1,1,1
12/02/2020,1,1,1
13/02/2020,1,1,1
14/02/2020,1,1,1
15/02/2020,1,1,1
16/02/2020,1,1,1
17/02/2020,1,1,1
18/02/2020,1,1,1
19/02/2020,1,1,1
20/02/2020,1,2,1
21/02/2020,1,2,1
22/02/2020,1,4,2
23/02/2020,2,5,5
24/02/2020,2,8,7
25/02/2020,6,12,11
26/02/2020,11,15,12
27/02/2020,12,22,13
28/02/2020,17,26,13
29/02/2020,21,34,17
01/03/2020,29,43,18
02/03/2020,35,54,22
03/03/2020,52,66,28
04/03/2020,81,77,32
05/03/2020,117,92,35
06/03/2020,148,117,42
07/03/2020,197,124,44
08/03/2020,234,145,51
09/03/2020,366,194,51
10/03/2020,463,237,54
11/03/2020,631,291,61
12/03/2020,827,354,66
